LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,stmDly,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
80,180613,1,3,NaN,NaN,125,2,1,0,1,0,400,NaN,5,0,12,40,28,NaN,NaN,0.183673469387755,0
80,180613,1,3,NaN,NaN,125,2,1,1,1,0,400,NaN,5,2,6,58,44,NaN,NaN,0.183673469387755,0
80,180613,1,3,NaN,NaN,100,2,1,0,1,20,400,NaN,5,0,10,42,32,NaN,NaN,0.311475409836066,0
80,180613,1,3,NaN,NaN,100,2,1,1,1,20,400,NaN,5,3,20,80,36,NaN,NaN,0.311475409836066,0
80,180613,1,3,NaN,NaN,75,2,1,0,1,40,400,NaN,5,0,7,30,24,NaN,NaN,0.4,0
80,180613,1,3,NaN,NaN,75,2,1,1,1,40,400,NaN,5,5,19,70,42,NaN,NaN,0.4,0
80,180613,1,3,NaN,NaN,75,2,1,0,1,60,400,NaN,5,1,17,47,30,NaN,NaN,0.175438596491228,0
80,180613,1,3,NaN,NaN,75,2,1,1,1,60,400,NaN,5,7,24,67,19,NaN,NaN,0.175438596491228,0
80,180614,1,2,NaN,NaN,200,2,1,1,1,20,400,NaN,5,8,17,63,18,NaN,NaN,0.3125,0
80,180614,1,2,NaN,NaN,200,2,1,0,1,20,400,NaN,5,12,16,33,17,NaN,NaN,0.3125,0
80,180614,1,2,NaN,NaN,250,2,1,1,1,40,400,NaN,4,8,15,55,40,NaN,NaN,0.122448979591837,0
80,180614,1,2,NaN,NaN,250,2,1,0,1,40,400,NaN,4,1,4,43,39,NaN,NaN,0.122448979591837,0
80,180614,1,2,NaN,NaN,250,2,1,1,1,60,400,NaN,5,4,2,55,53,NaN,NaN,-0.0517241379310345,0
80,180614,1,2,NaN,NaN,250,2,1,0,1,60,400,NaN,5,8,14,61,23,NaN,NaN,-0.0517241379310345,0
80,180616,1,1,NaN,NaN,200,2,1,1,1,60,400,NaN,5,4,1,25,24,NaN,NaN,-0.193548387096774,0
80,180616,1,1,NaN,NaN,200,2,1,0,1,60,400,NaN,3,5,1,37,28,NaN,NaN,-0.193548387096774,0
80,180616,1,1,NaN,NaN,150,2,1,1,1,60,400,NaN,2,4,44,86,22,NaN,NaN,0.433333333333333,0
80,180616,1,1,NaN,NaN,150,2,1,0,1,60,400,NaN,4,1,0,34,34,NaN,NaN,0.433333333333333,0
80,180616,1,1,NaN,NaN,125,2,1,1,1,40,400,NaN,1,0,1,20,2,NaN,NaN,-0.545454545454545,1
80,180616,1,1,NaN,NaN,125,2,1,0,1,40,400,NaN,2,4,1,68,8,NaN,NaN,-0.545454545454545,1
